pl_orbper	st_mass	planet_mass	env_mass
18.859019	0.5	-15.656475546671231	-0.6262590218668492
12.73596	0.51	-10.092175332410289	-0.40368701329641155
268.94	0.49	-3.949929453710862	-0.15799717814843448
153.22	1.08	-6.09144787191011	-0.2436579148764044
379.63	2.8	-15.235432672846187	-0.6094173069138475
379.63	10.83	-1.1842379433294652	-0.04736951773317861
621.99	2.8	-0.9872302783316711	-0.039489211133266845
41.688644	0.96	-0.35889437415725345	-0.014355774966290138
41.6855	1.67	-18.445556618922968	-0.7378222647569187
41.6855	0.96	-10.876132689241325	-0.43504530756965304
307.88	0.81	-5.492113401710481	-0.21968453606841923
392.6	0.74	-10.05664300582028	-0.4022657202328112
733.0	1.09	-2.894537051459283	-0.11578148205837133
2590.0	1.52	-15.899565537823355	-0.6359826215129342
125.94	0.7	-7.878227484674603	-0.31512909938698414
3.48777	1.01	-13.46031015451457	-0.5384124061805828
3.48777	1.47	-4.692266517065144	-0.18769066068260576
3.487	1.1	-3.2344170424598317	-0.12937668169839328
1667.0	0.57	-16.002672617418973	-0.6401069046967589
1634.0	0.65	-4.2862962458994645	-0.17145184983597858
714.3	2.4	-1.7478415875406688	-0.06991366350162675
4.2889731	1.41	-4.140804265958565	-0.1656321706383426
655.6	0.74	-20.151851588337827	-0.8060740635335131
6240.0	0.69	-17.12614511328039	-0.6850458045312157
3.1533	0.16	-0.7735171995659702	-0.03094068798263881
2.2907	0.16	-16.372882886240895	-0.6549153154496358
10037.5	0.02	-15.609731856386594	-0.6243892742554638
8040000.0	0.01	-11.716926368235159	-0.46867705472940635
1.5089686	0.95	-17.435058741141745	-0.6974023496456698
1.5089557	1.03	-13.983073864642162	-0.5593229545856865
1.5089557	0.95	-1.7311839336137975	-0.0692473573445519
13.2406	0.89	-3.8630305073030167	-0.15452122029212068
13.2406	0.89	-6.894363123255229	-0.2757745249302092
2.99427803	1.27	-5.970177149052789	-0.2388070859621116
2.994325	1.27	-2.009459125217141	-0.08037836500868566
2.99433	1.26	-0.1667263721572605	-0.00666905488629042
2.82805268	1.0	-25.465246050026476	-1.018609842001059
2.828042	1.02	-3.2356080533614353	-0.12942432213445743
2.828042	1.08	-13.77826340795345	-0.551130536318138
2.828041	1.08	-19.29660105678696	-0.7718640422714785
2.828042	1.08	-14.872262485217355	-0.5948904994086942
1.51214	1.13	-8.84725219764184	-0.3538900879056736
3.7681	1.04	-25.69737789120667	-1.0278951156482667
1.9000693	0.95	-12.852296268884247	-0.5140918507553699
1.9000769	0.95	-3.642034581548044	-0.14568138326192176
1.9000693	0.86	-10.566056362691873	-0.4226422545076749
1.9000693	0.95	-11.33341755664345	-0.453336702265738
3.897131	1.21	-12.588744245820694	-0.5035497698328277
3.8971379	1.21	-23.764056266091885	-0.9505622506436754
3.89713	1.18	-19.666107663673596	-0.7866443065469438
1.7429935	0.96	-21.300036645385656	-0.8520014658154262
1.7429935	1.02	-3.8371532630909453	-0.15348613052363783
1.74299673	0.97	-8.767525487267172	-0.3507010194906869
9.24285	1.14	-7.397540788068147	-0.29590163152272586
9.24285	1.14	-3.19178261237973	-0.1276713044951892
9.24318	1.1	-11.567717157545877	-0.4627086863018351
9.24285	1.14	-7.130662476835324	-0.28522649907341296
1675.0	1.14	-7.441086413401509	-0.29764345653606034
2.72474	1.29	-23.545355781790985	-0.9418142312716394
2.72474	1.29	-11.946452778411357	-0.4778581111364543
