pl_orbper	st_mass	planet_mass	env_mass
2.99433	1.26	-15.38570797764814	-0.6154283191059257
2.994325	1.23	-3.4410354101506835	-0.13764141640602734
2.99433	1.27	-8.009221021093383	-0.32036884084373535
2.828042	1.08	-4.788512711529972	-0.19154050846119888
2.828042	1.08	-7.65767059886112	-0.3063068239544448
4.03519	1.09	-7.566490848071325	-0.302659633922853
4.03519	1.09	-9.117605858675887	-0.36470423434703547
1.51214	1.13	-8.689065569812037	-0.34756262279248146
3.7681	1.04	-11.125014594025043	-0.4450005837610017
1.9000693	0.95	-18.968441134727918	-0.7587376453891167
1.9000693	0.95	-6.30684959417109	-0.2522739837668436
1.90009	0.88	-4.43871091254568	-0.17754843650182722
3.89713	1.21	-22.202395517385007	-0.8880958206954003
3.8971379	1.21	-4.435525442198201	-0.17742101768792803
1.7429975	0.97	-1.028706339990678	-0.04114825359962712
1.7429935	1.0	-7.1434143180965535	-0.28573657272386216
1.7429935	1.02	-8.345892848008411	-0.33383571392033645
1.74299673	0.97	-2.4771429953613127	-0.09908571981445251
9.24285	1.11	-4.248934591813385	-0.1699573836725354
9.24285	1.14	-7.84849098812151	-0.3139396395248604
9.24285	1.14	-8.750464018553368	-0.3500185607421347
1675.0	1.14	-11.70060316004047	-0.46802412640161883
2.72474	1.29	-6.221188219796479	-0.24884752879185917
9.75598	1.1	-14.803394465822294	-0.5921357786328918
3.6313	1.14	-13.833483143780594	-0.5533393257512238
3.6313	1.12	-15.748018239344908	-0.6299207295737963
3.6313	1.14	-5.544627457928236	-0.22178509831712945
5.1134	0.91	-18.573965953083075	-0.742958638123323
11.759	0.91	-15.898897221485445	-0.6359558888594178
4.86069	1.09	-4.021981117590303	-0.16087924470361212
4.20474	1.09	-0.8529697874777764	-0.03411879149911106
3.57532	1.05	-2.981854585194909	-0.11927418340779637
3.57532	1.05	-2.5242144088058067	-0.10096857635223228
5.20851	1.01	-10.320706442050769	-0.41282825768203074
2.85057	0.97	-1.3966473817893097	-0.05586589527157239
2.8505615	0.9	-3.85586174648242	-0.15423446985929679
4.2567994	1.4	-9.693451136424041	-0.38773804545696167
4.2568	1.37	-0.4000444684586803	-0.01600177873834721
4.2567994	1.37	-8.631681646504434	-0.34526726586017736
9.06005	0.98	-14.70507969565963	-0.5882031878263853
4.62941	1.25	-7.103490793844755	-0.2841396317537902
5.616531	1.32	-8.862565992223505	-0.3545026396889402
9.20205	1.16	-3.8215639479421135	-0.15286255791768455
4.0379156	0.99	-4.800277775425281	-0.19201111101701124
4.0378962	1.0	-6.949981226221041	-0.27799924904884166
4.0378962	1.0	-10.189397588932886	-0.40757590355731543
8.886593	1.05	-9.679840242590906	-0.38719360970363625
0.85359159	0.91	-6.237168506778234	-0.24948674027112938
0.853585	0.9	-14.307353678700856	-0.5722941471480343
0.85359165	0.9	-18.650603390416293	-0.7460241356166517
3.697	0.92	-12.66065630921372	-0.5064262523685489
3.7	0.9	-5.952516370337521	-0.23810065481350084
6.212381	0.88	-3.1841308873800194	-0.1273652354952008
6.21229	0.88	-0.5579784878030487	-0.022319139512121947
6.212445	0.89	-3.5692152740279193	-0.1427686109611168
95.272656	0.96	-11.882055010959165	-0.4752822004383666
