stellar_mass	planet_mass	env_mass
1.02	-3.7170618301031357	-0.14868247320412542
1.07	-3.9113028292762824	-0.1564521131710513
1.13	-8.568720419182625	-0.342748816767305
1.24	-5.291261666417608	-0.2116504666567043
1.2	-12.899737454162413	-0.5159894981664965
0.68	-23.06908802395132	-0.9227635209580528
0.99	-20.041127444233634	-0.8016450977693453
0.77	-14.166859204582593	-0.5666743681833037
0.92	-7.931033198534879	-0.3172413279413952
0.81	-6.333616027038955	-0.2533446410815582
1.11	-4.874524641350642	-0.1949809856540257
1.0	-3.694826749265453	-0.14779306997061814
0.87	-12.733864406662722	-0.5093545762665089
1.07	-2.097516446674761	-0.08390065786699044
1.1	-3.8485630008487846	-0.1539425200339514
1.18	-2.838932774283034	-0.11355731097132137
1.18	-5.007172112589801	-0.20028688450359206
1.22	-5.059837946350672	-0.2023935178540269
0.9	-1.9850155328580577	-0.07940062131432231
1.12	-5.86769385462542	-0.23470775418501683
0.9	-5.388104004789579	-0.21552416019158316
1.13	-4.808250296185361	-0.19233001184741444
0.4	-5.310036722516488	-0.2124014689006595
0.96	-1.4550397229789194	-0.05820158891915678
0.99	-0.6703403438898852	-0.026813613755595406
1.11	-2.857066622342875	-0.11428266489371501
1.14	-6.193746898948504	-0.24774987595794018
0.7	-10.670124069608963	-0.42680496278435853
1.02	-9.126711288578868	-0.3650684515431547
0.8	-4.890836128304118	-0.1956334451321647
0.88	-3.569069720505251	-0.14276278882021004
0.55	-5.655280087425933	-0.2262112034970373
0.63	-9.06017795802715	-0.362407118321086
0.87	-5.369170459392832	-0.21476681837571326
0.68	-1.909042577222618	-0.07636170308890472
1.15	-21.700314255305795	-0.8680125702122318
1.02	-2.640592783932977	-0.10562371135731909
0.86	-5.073046869264287	-0.20292187477057147
0.64	-3.6148536762144827	-0.1445941470485793
1.22	-0.4824098186762069	-0.019296392747048276
0.92	-20.066840793247852	-0.8026736317299141
0.95	-22.972498269082884	-0.9188999307633153
1.03	-4.658148180203044	-0.18632592720812177
1.18	-7.173999180473631	-0.28695996721894523
0.53	-3.835670768309991	-0.15342683073239965
0.77	-4.782672556273045	-0.1913069022509218
0.82	-0.8795375925863664	-0.03518150370345466
0.89	-9.750940459292242	-0.39003761837168965
0.9	-11.328951102939122	-0.4531580441175649
0.45	-8.699385681779624	-0.34797542727118497
0.82	-4.62728197727361	-0.1850912790909444
1.18	-12.440965814964322	-0.4976386325985729
0.98	-14.340462313589896	-0.5736184925435959
1.07	-0.22230829847436673	-0.008892331938974669
1.34	-1.8055640523135768	-0.07222256209254307
1.23	-5.55764954779265	-0.222305981911706
1.09	-13.442208644791563	-0.5376883457916626
1.24	-12.667780020415865	-0.5067112008166346
0.88	-14.203371850698561	-0.5681348740279425
0.97	-20.235543873261843	-0.8094217549304737
0.7	-18.361532167924654	-0.7344612867169862
0.96	-9.132569442930464	-0.3653027777172186
0.8	-8.988651746563086	-0.35954606986252347
0.83	-12.218662589122122	-0.48874650356488486
0.73	-4.639078414476147	-0.18556313657904588
1.0	-27.873874170562544	-1.1149549668225018
0.81	-3.236413867057263	-0.12945655468229053
1.07	-6.870122603695507	-0.2748049041478203
1.01	-2.3864307892507473	-0.09545723157002989
0.49	-0.630073419644386	-0.02520293678577544
0.84	-13.22863357629473	-0.5291453430517892
0.76	-5.439600385347166	-0.21758401541388664
0.8	-8.435992039223851	-0.33743968156895404
0.97	-9.816969058476957	-0.3926787623390783
0.37	-11.962014522058633	-0.4784805808823453
0.54	-0.8238084811539914	-0.03295233924615966
0.91	-0.20535935950663697	-0.008214374380265479
0.38	-2.6055706389515736	-0.10422282555806295
1.14	-5.135504498939539	-0.20542017995758155
0.79	-12.744772030376081	-0.5097908812150432
0.68	-11.43929767765845	-0.457571907106338
1.03	-19.810894977011873	-0.7924357990804749
0.86	-0.510424119259095	-0.020416964770363803
0.95	-5.500530136574841	-0.22002120546299364
1.16	-16.054585837100447	-0.6421834334840179
1.07	-1.2417413018624917	-0.049669652074499665
0.83	-1.867684449288287	-0.07470737797153147
1.06	-4.765575171756991	-0.19062300687027964
1.16	-15.056586634150648	-0.6022634653660259
1.05	-6.237008252832554	-0.24948033011330217
1.25	-31.39596337039458	-1.2558385348157832
1.03	-4.334256822775568	-0.1733702729110227
0.96	-9.820955110410733	-0.3928382044164293
0.73	-5.177134548485588	-0.20708538193942352
0.91	-1.5717806822399754	-0.06287122728959901
0.81	-12.33172063234854	-0.4932688252939416
0.72	-11.958541668439747	-0.4783416667375899
0.51	-9.343423011115586	-0.3737369204446235
0.99	-4.936019153728195	-0.1974407661491278
1.05	-17.45269274032313	-0.6981077096129252
0.88	-20.910379774800447	-0.8364151909920179
0.82	-7.77114078101266	-0.3108456312405064
0.83	-15.428156475341314	-0.6171262590136526
0.53	-4.523422060892996	-0.18093688243571981
0.97	-8.946944802604666	-0.35787779210418663
0.94	-2.552346936106993	-0.10209387744427971
0.76	-1.823699540599088	-0.07294798162396351
1.1	-2.0234245593273044	-0.08093698237309217
0.94	-3.3191212143856266	-0.13276484857542506
1.05	-16.115568893069792	-0.6446227557227917
1.21	-18.12473031801906	-0.7249892127207624
0.81	-19.971200834576827	-0.7988480333830731
1.03	-10.93766459189653	-0.4375065836758612
1.05	-3.3613088685998287	-0.13445235474399314
1.16	-22.64319836403272	-0.9057279345613088
0.89	-8.861099316105596	-0.35444397264422384
1.06	-14.33134501273753	-0.5732538005095013
1.25	-2.8615649236561764	-0.11446259694624705
0.78	-11.209501584463322	-0.44838006337853287
0.98	-3.794321911591111	-0.15177287646364446
